"Handle","Title","Body (HTML)","Type","Published","Option1 Name","Option1 Value","Variant Price","Variant Inventory Qty","Image Src","Image Position","Image Alt"
"01-mauve-embroidered-shirt","Mauve Sonnet Shirt","<p>A hip-length shirt in dusty mauve, embroidered tone-on-tone across the body.</p>
<p>The spread collar, full button placket and buttoned cuffs make it as easy over trousers as it is on its own.</p>","Tops","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/01-mauve-embroidered-shirt/01-front-view.jpg","1","Mauve Sonnet Shirt - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/01-mauve-embroidered-shirt/02-three-quarter-front-view.jpg","2","Mauve Sonnet Shirt - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/01-mauve-embroidered-shirt/03-side-view.jpg","3","Mauve Sonnet Shirt - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/01-mauve-embroidered-shirt/04-back-view.jpg","4","Mauve Sonnet Shirt - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/01-mauve-embroidered-shirt/05-close-up-detail.jpg","5","Mauve Sonnet Shirt - close-up detail"
"02-magenta-heart-embroidered-shirt","Heartline Magenta Shirt","<p>Deep magenta scattered with tiny heart embroidery.</p>
<p>A relaxed collared shirt with buttoned cuffs - playful without saying a word.</p>","Tops","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/02-magenta-heart-embroidered-shirt/01-front-view.jpg","1","Heartline Magenta Shirt - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/02-magenta-heart-embroidered-shirt/02-three-quarter-front-view.jpg","2","Heartline Magenta Shirt - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/02-magenta-heart-embroidered-shirt/03-side-view.jpg","3","Heartline Magenta Shirt - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/02-magenta-heart-embroidered-shirt/04-back-view.jpg","4","Heartline Magenta Shirt - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/02-magenta-heart-embroidered-shirt/05-close-up-detail.jpg","5","Heartline Magenta Shirt - close-up detail"
"03-purple-applique-v-neck-tunic","Dusk Applique Tunic","<p>A deep-purple tunic traced with contrast applique along the neckline and hem.</p>
<p>The V-neck keeps it open and easy - wear it over slim trousers for the longest line.</p>","Tops","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/03-purple-applique-v-neck-tunic/01-front-view.jpg","1","Dusk Applique Tunic - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/03-purple-applique-v-neck-tunic/02-three-quarter-front-view.jpg","2","Dusk Applique Tunic - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/03-purple-applique-v-neck-tunic/03-side-view.jpg","3","Dusk Applique Tunic - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/03-purple-applique-v-neck-tunic/04-back-view.jpg","4","Dusk Applique Tunic - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/03-purple-applique-v-neck-tunic/05-close-up-detail.jpg","5","Dusk Applique Tunic - close-up detail"
"04-coral-blue-leaf-mandarin-shirt","Leafsong Mandarin Shirt","<p>A coral shirt embroidered with blue leaf vines along the placket, collar and yoke.</p>
<p>The mandarin collar keeps it neat - jewellery optional.</p>","Tops","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/04-coral-blue-leaf-mandarin-shirt/01-front-view.jpg","1","Leafsong Mandarin Shirt - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/04-coral-blue-leaf-mandarin-shirt/02-three-quarter-front-view.jpg","2","Leafsong Mandarin Shirt - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/04-coral-blue-leaf-mandarin-shirt/03-side-view.jpg","3","Leafsong Mandarin Shirt - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/04-coral-blue-leaf-mandarin-shirt/04-back-view.jpg","4","Leafsong Mandarin Shirt - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/04-coral-blue-leaf-mandarin-shirt/05-close-up-detail.jpg","5","Leafsong Mandarin Shirt - close-up detail"
"05-brown-running-stitch-botanical-shirt","Botanical Stitch Shirt","<p>A warm brown shirt outlined with botanical running-stitch embroidery, stem by stem.</p>
<p>Understated on purpose - the stitch is the story.</p>","Tops","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/05-brown-running-stitch-botanical-shirt/01-front-view.jpg","1","Botanical Stitch Shirt - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/05-brown-running-stitch-botanical-shirt/02-three-quarter-front-view.jpg","2","Botanical Stitch Shirt - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/05-brown-running-stitch-botanical-shirt/03-side-view.jpg","3","Botanical Stitch Shirt - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/05-brown-running-stitch-botanical-shirt/04-back-view.jpg","4","Botanical Stitch Shirt - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/05-brown-running-stitch-botanical-shirt/05-close-up-detail.jpg","5","Botanical Stitch Shirt - close-up detail"
"06-red-navy-check-a-line-dress","The Weekend Check Dress","<p>A bold red-and-navy check A-line with a crisp white collar, cut to swing just below the knee.</p>
<p>Picnic-table classic, cut for grown-ups.</p>","Dresses","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/06-red-navy-check-a-line-dress/01-front-view.jpg","1","The Weekend Check Dress - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/06-red-navy-check-a-line-dress/02-three-quarter-front-view.jpg","2","The Weekend Check Dress - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/06-red-navy-check-a-line-dress/03-side-view.jpg","3","The Weekend Check Dress - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/06-red-navy-check-a-line-dress/04-back-view.jpg","4","The Weekend Check Dress - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/06-red-navy-check-a-line-dress/05-close-up-detail.jpg","5","The Weekend Check Dress - close-up detail"
"07-fuchsia-double-button-maxi-dress","Fuchsia Chapter Maxi","<p>A fuchsia maxi with a double-button placket running down the bodice and a skirt that moves with you.</p>
<p>Deep, bright and unapologetic.</p>","Dresses","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/07-fuchsia-double-button-maxi-dress/01-front-view.jpg","1","Fuchsia Chapter Maxi - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/07-fuchsia-double-button-maxi-dress/02-three-quarter-front-view.jpg","2","Fuchsia Chapter Maxi - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/07-fuchsia-double-button-maxi-dress/03-side-view.jpg","3","Fuchsia Chapter Maxi - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/07-fuchsia-double-button-maxi-dress/04-back-view.jpg","4","Fuchsia Chapter Maxi - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/07-fuchsia-double-button-maxi-dress/05-close-up-detail.jpg","5","Fuchsia Chapter Maxi - close-up detail"
"08-mint-butterfly-a-line-dress","Butterfly Meadow Dress","<p>Pale mint scattered with embroidered butterflies.</p>
<p>A square neck and full skirt keep it light on the busiest of days.</p>","Dresses","TRUE","Title","Default Title","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/08-mint-butterfly-a-line-dress/01-front-view.jpg","1","Butterfly Meadow Dress - front view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/08-mint-butterfly-a-line-dress/02-three-quarter-front-view.jpg","2","Butterfly Meadow Dress - three-quarter view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/08-mint-butterfly-a-line-dress/03-side-view.jpg","3","Butterfly Meadow Dress - side view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/08-mint-butterfly-a-line-dress/04-back-view.jpg","4","Butterfly Meadow Dress - back view"
"","","","","","","","","","https://YOUR-DEPLOYED-SITE-DOMAIN/collection/08-mint-butterfly-a-line-dress/05-close-up-detail.jpg","5","Butterfly Meadow Dress - close-up detail"
